Date,Open,High,Low,Close,Adj Close
2000/1/1,8644.910156,9753.719727,8642.5,9744.889648,9744.852539
2000/2/1,9829.679688,10393.58984,9407.790039,9435.94043,9435.90625
2000/3/1,9572.240234,10071.25977,8250.459961,9854.950195,9854.913086
2000/4/1,9892.780273,10328.98047,8458.400391,8824.360352,8824.328125
2000/5/1,8836.830078,9146.589844,8281.679688,8939.519531,8939.486328
2000/6/1,8936.429688,9209.480469,8050.02002,8265.089844,8265.057617
2000/7/1,8260.950195,8643.209961,7723.439941,8114.919922,8114.88916
2000/8/1,8171.580078,8305.669922,7440.810059,7616.97998,7616.951172
2000/9/1,7659.819824,7829.339844,6425.580078,6432.359863,6432.335449
2000/10/1,6165.640137,6367.390137,5074.439941,5544.180176,5544.159668
2000/11/1,5552.299805,6164.620117,4760.680176,5256.930176,5256.910645
2000/12/1,5173.02002,5403.140137,4555.910156,4743.939941,4743.922363
2001/1/1,4717.490234,5992.430176,4678,5936.200195,5936.178223
2001/2/1,5927.25,6198.220215,5653.859863,5674.689941,5674.668945
2001/3/1,5581.950195,5981.310059,5471.620117,5797.919922,5797.898926
2001/4/1,5797.850098,5797.850098,5345.600098,5381.669922,5381.649902
2001/5/1,5469.950195,5502.529785,4902.220215,5048.859863,5048.84082
2001/6/1,5090.660156,5318.709961,4741.540039,4883.430176,4883.411621
2001/7/1,4886.490234,4906.819824,4008.080078,4352.97998,4352.963867
2001/8/1,4402.709961,4715.200195,4303.339844,4509.439941,4509.42334
2001/9/1,4520,4526.27002,3411.679932,3636.939941,3636.926025
2001/10/1,3623.669922,4104.209961,3436.25,3903.48999,3903.475586
2001/11/1,3939.080078,4722.180176,3910.840088,4441.120117,4441.103516
2001/12/1,4534.370117,5651.97998,4532.189941,5551.240234,5551.219727
2002/1/1,5575.339844,6049.120117,5375.399902,5872.140137,5872.118164
2002/2/1,5948.100098,6048.649902,5492.939941,5696.109863,5696.088867
2002/3/1,5672.029785,6326.430176,5645.799805,6167.470215,6167.446777
2002/4/1,6118.450195,6484.930176,6009.450195,6065.72998,6065.70752
2002/5/1,6099.27002,6106.77002,5421.799805,5675.649902,5675.628906
2002/6/1,5628.27002,5656.910156,5048.310059,5153.709961,5153.69043
2002/7/1,5124.5,5460.089844,4796.450195,4940.379883,4940.361328
2002/8/1,4923.290039,5030.240234,4506.600098,4764.939941,4764.922363
2002/9/1,4756.009766,4756.009766,4082.939941,4191.810059,4191.793945
2002/10/1,4146.669922,4682.939941,3845.76001,4579.140137,4579.123047
2002/11/1,4596.689941,4862.660156,4486.339844,4646.689941,4646.672852
2002/12/1,4655.419922,4867.22998,4413.140137,4452.450195,4452.433594
2003/1/1,4460.569824,5141.799805,4431.189941,5015.160156,5015.141113
2003/2/1,4975.649902,4975.649902,4385.609863,4432.459961,4432.443848
2003/3/1,4483.439941,4619.97998,4240.600098,4321.220215,4321.204102
2003/4/1,4275.390137,4677.419922,4044.72998,4148.069824,4148.053711
2003/5/1,4130.600098,4639.009766,4108.669922,4555.899902,4555.882813
2003/6/1,4620.540039,5089.080078,4612.100098,4872.149902,4872.131348
2003/7/1,4893.580078,5504.379883,4893.580078,5318.339844,5318.320313
2003/8/1,5365.72998,5692.930176,5174.77002,5650.830078,5650.809082
2003/9/1,5690.839844,5809.430176,5591.330078,5611.410156,5611.38916
2003/10/1,5599.100098,6173.850098,5560.549805,6045.120117,6045.097656
2003/11/1,6054.310059,6182.200195,5740.569824,5771.77002,5771.749023
2003/12/1,5768.689941,5945.529785,5718.439941,5890.689941,5890.667969
2004/1/1,5907.149902,6421.450195,5907.149902,6375.379883,6375.355469
2004/2/1,6379.97998,6756.759766,6210.350098,6750.540039,6750.51416
2004/3/1,6816.790039,7135,6020.640137,6522.189941,6522.165039
2004/4/1,6504.540039,6916.310059,6023.580078,6117.810059,6117.787598
2004/5/1,6102.600098,6191.839844,5450.720215,5977.839844,5977.817871
2004/6/1,5991.490234,6010.5,5514.169922,5839.439941,5839.417969
2004/7/1,5849.740234,5870.589844,5280.419922,5420.569824,5420.549316
2004/8/1,5404.189941,5864.569824,5255.060059,5765.540039,5765.519043
2004/9/1,5799.819824,5970.290039,5712.950195,5845.689941,5845.667969
2004/10/1,5869.419922,6135.549805,5597.799805,5705.930176,5705.90918
2004/11/1,5725.649902,6088.120117,5628.25,5844.759766,5844.737793
2004/12/1,5778.060059,6160.959961,5745.049805,6139.689941,6139.66748
2005/1/1,6166.390137,6183.149902,5734.870117,5994.22998,5994.20752
2005/2/1,6015.779785,6233.529785,5979.919922,6207.830078,6207.806641
2005/3/1,6227.419922,6267.52002,5940.180176,6005.879883,6005.857422
2005/4/1,6010.709961,6048.370117,5565.410156,5818.069824,5818.04834
2005/5/1,5845.140137,6026.529785,5793.25,6011.560059,6011.537598
2005/6/1,6002.549805,6401.810059,5962.879883,6241.939941,6241.916504
2005/7/1,6240.080078,6480.970215,6180.580078,6311.97998,6311.956055
2005/8/1,6320.669922,6481.620117,5976.399902,6033.470215,6033.447754
2005/9/1,6081.709961,6186.120117,5894.990234,6118.609863,6118.587402
2005/10/1,6128.970215,6171.870117,5618.899902,5764.299805,5764.278809
2005/11/1,5803.25,6212.350098,5786.640137,6203.470215,6203.446777
2005/12/1,6196.359863,6600.169922,6162.859863,6548.339844,6548.314941
2006/1/1,6457.609863,6797.200195,6373.629883,6532.180176,6532.155273
2006/2/1,6592.189941,6747.430176,6466.209961,6561.629883,6561.60498
2006/3/1,6518,6685.450195,6344.72998,6613.970215,6613.945313
2006/4/1,6627.319824,7229.350098,6615.97998,7171.77002,7171.742676
2006/5/1,7174.930176,7476.069824,6791.109863,6846.950195,6846.924316
