1997,8.02
1998,8.56
1999,8.29
2000,6.5
2001,4.31
2002,2.53
2003,5.68
2004,7.19
2005,6.63
2006,5.15
2007,0.84
2008,7.23
2009,5.76
2010,5.45
2011,4.84
2012,3.46
2013,5.79
2014,6.13
2015,5.8
2016,3.55
2017,3.56
2018,2.65
2019,4.52
2020,9.36
2021,7.35
